pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
452734208,AIGER-Real/random_n_19_1_4_14_13_19_abc.aag,9166894,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.06,3600.53,92326184,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734212,AIGER-Real/amba8c30n.aag,9164785,simpleBDDSolver,24326,seqreal2,332128,complete,187.586,187.6,92245732,REALIZABLE,-,realizable
452734213,AIGER-Real/amba8c30n.aag,9164785,simpleBDDSolver,24326,seqreal1,332129,complete,175.443,175.528,92244924,REALIZABLE,-,realizable
452734217,AIGER-Real/add224n.aag,9164786,simpleBDDSolver,24326,seqreal2,332128,complete,1026.05,1026.18,92251276,REALIZABLE,-,realizable
452734218,AIGER-Real/add224n.aag,9164786,simpleBDDSolver,24326,seqreal1,332129,complete,880.192,880.313,92251276,REALIZABLE,-,realizable
452734222,AIGER-Real/load_full_2_comp1_UNREAL.aag,9164787,simpleBDDSolver,24326,seqreal2,332128,complete,1.76778,1.76788,92059876,UNREALIZABLE,-,unrealizable
452734223,AIGER-Real/load_full_2_comp1_UNREAL.aag,9164787,simpleBDDSolver,24326,seqreal1,332129,complete,1.90306,1.90317,92059820,UNREALIZABLE,-,unrealizable
452734227,AIGER-Real/gb_s2_r2_comp4_REAL.aag,9164788,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.05,3600.42,92241048,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734228,AIGER-Real/gb_s2_r2_comp4_REAL.aag,9164788,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.07,3600.43,92265820,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734232,AIGER-Real/genbuf40f39unrealy.aag,9164789,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.03,3600.37,92277444,--,Found neither REALIZABLE nor UNREALIZABLE,unrealizable
452734233,AIGER-Real/genbuf40f39unrealy.aag,9164789,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.03,3600.42,92284792,--,Found neither REALIZABLE nor UNREALIZABLE,unrealizable
452734237,AIGER-Real/very_good_bakery2.aag,9164790,simpleBDDSolver,24326,seqreal2,332128,complete,0.51451,0.514506,113176,REALIZABLE,-,realizable
452734238,AIGER-Real/very_good_bakery2.aag,9164790,simpleBDDSolver,24326,seqreal1,332129,complete,0.51441,0.514456,113176,REALIZABLE,-,realizable
452734242,AIGER-Real/genbuf24b14n.aag,9164791,simpleBDDSolver,24326,seqreal2,332128,complete,85.2257,85.232,92270596,REALIZABLE,-,realizable
452734243,AIGER-Real/genbuf24b14n.aag,9164791,simpleBDDSolver,24326,seqreal1,332129,complete,921.244,921.367,92274092,REALIZABLE,-,realizable
452734247,AIGER-Real/cnt30n.aag,9164792,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.01,3600.51,92055312,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734248,AIGER-Real/cnt30n.aag,9164792,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.02,3600.39,92055312,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734252,AIGER-Real/mult_bool_matrix_dyn_7_7.aag,9164793,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.04,3600.55,92718828,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734253,AIGER-Real/mult_bool_matrix_dyn_7_7.aag,9164793,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.01,3600.74,92998232,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734257,AIGER-Real/demo-v24_5_REAL.aag,9164794,simpleBDDSolver,24326,seqreal2,332128,complete,0.79665,0.796712,92057060,REALIZABLE,-,realizable
452734258,AIGER-Real/demo-v24_5_REAL.aag,9164794,simpleBDDSolver,24326,seqreal1,332129,complete,0.424411,0.424466,113176,REALIZABLE,-,realizable
452734262,AIGER-Real/load_3c_comp_comp4_REAL.aag,9164795,simpleBDDSolver,24326,seqreal2,332128,complete,32.1339,32.1363,92081080,REALIZABLE,-,realizable
452734263,AIGER-Real/load_3c_comp_comp4_REAL.aag,9164795,simpleBDDSolver,24326,seqreal1,332129,complete,34.0391,34.0414,92081300,REALIZABLE,-,realizable
452734267,AIGER-Real/moving_obstacle_16x16_3glitches.aag,9164796,simpleBDDSolver,24326,seqreal2,332128,complete,1.05563,1.05571,92058380,REALIZABLE,-,realizable
452734268,AIGER-Real/moving_obstacle_16x16_3glitches.aag,9164796,simpleBDDSolver,24326,seqreal1,332129,complete,1.05743,1.05752,92058380,REALIZABLE,-,realizable
452734272,AIGER-Real/cycle_sched_8_2_4.aag,9164797,simpleBDDSolver,24326,seqreal2,332128,complete,1.82225,1.82234,92059652,REALIZABLE,-,realizable
452734273,AIGER-Real/cycle_sched_8_2_4.aag,9164797,simpleBDDSolver,24326,seqreal1,332129,complete,1.37552,1.37559,92057504,REALIZABLE,-,realizable
452734277,AIGER-Real/amba16c6unrealy.aag,9164798,simpleBDDSolver,24326,seqreal2,332128,complete,769.212,769.354,92282872,UNREALIZABLE,-,unrealizable
452734278,AIGER-Real/amba16c6unrealy.aag,9164798,simpleBDDSolver,24326,seqreal1,332129,complete,604.404,604.52,92281304,UNREALIZABLE,-,unrealizable
452734282,AIGER-Real/driver_a6n.aag,9164799,simpleBDDSolver,24326,seqreal2,332128,complete,0.902645,0.902668,92054872,NEW-UNREALIZABLE,-,unknown
452734283,AIGER-Real/driver_a6n.aag,9164799,simpleBDDSolver,24326,seqreal1,332129,complete,0.919417,0.919507,92054888,NEW-UNREALIZABLE,-,unknown
452734287,AIGER-Real/mult6.aag,9164800,simpleBDDSolver,24326,seqreal2,332128,complete,0.326397,0.326414,113176,REALIZABLE,-,realizable
452734288,AIGER-Real/mult6.aag,9164800,simpleBDDSolver,24326,seqreal1,332129,complete,0.3257,0.325692,113176,REALIZABLE,-,realizable
452734292,AIGER-Real/load_full_3_comp1_UNREAL.aag,9164801,simpleBDDSolver,24326,seqreal2,332128,complete,800.886,800.982,92247548,UNREALIZABLE,-,unrealizable
452734293,AIGER-Real/load_full_3_comp1_UNREAL.aag,9164801,simpleBDDSolver,24326,seqreal1,332129,complete,1137.12,1137.23,92211784,UNREALIZABLE,-,unrealizable
452734297,AIGER-Real/amba16f110n.aag,9164802,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.05,3600.43,92288936,--,Found neither REALIZABLE nor UNREALIZABLE,unrealizable
452734298,AIGER-Real/amba16f110n.aag,9164802,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.03,3600.42,92323188,--,Found neither REALIZABLE nor UNREALIZABLE,unrealizable
452734302,AIGER-Real/bakery_sym1.aag,9164803,simpleBDDSolver,24326,seqreal2,332128,complete,0.09047,0.0904421,113176,UNREALIZABLE,-,unrealizable
452734303,AIGER-Real/bakery_sym1.aag,9164803,simpleBDDSolver,24326,seqreal1,332129,complete,0.090804,0.090844,113176,UNREALIZABLE,-,unrealizable
452734307,AIGER-Real/amba14f52unrealn.aag,9164804,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.06,3600.42,92283752,--,Found neither REALIZABLE nor UNREALIZABLE,unrealizable
452734308,AIGER-Real/amba14f52unrealn.aag,9164804,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.07,3600.51,92283708,--,Found neither REALIZABLE nor UNREALIZABLE,unrealizable
452734312,AIGER-Real/mult_bool_matrix_6_6_6.aag,9164805,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600,3600.53,92632584,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734313,AIGER-Real/mult_bool_matrix_6_6_6.aag,9164805,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.01,3600.62,92632584,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734317,AIGER-Real/demo-v15_5_REAL.aag,9164806,simpleBDDSolver,24326,seqreal2,332128,complete,0.155181,0.155188,113176,REALIZABLE,-,realizable
452734318,AIGER-Real/demo-v15_5_REAL.aag,9164806,simpleBDDSolver,24326,seqreal1,332129,complete,0.156013,0.156003,113176,REALIZABLE,-,realizable
452734322,AIGER-Real/mult_bool_matrix_dyn_5_8.aag,9164807,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.07,3600.63,92894572,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734323,AIGER-Real/mult_bool_matrix_dyn_5_8.aag,9164807,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.02,3600.71,92863924,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734327,AIGER-Real/mult_bool_matrix_5_4_5.aag,9164808,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.05,3600.52,92825488,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734328,AIGER-Real/mult_bool_matrix_5_4_5.aag,9164808,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.05,3600.52,92608240,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
452734332,AIGER-Real/stay14y.aag,9164809,simpleBDDSolver,24326,seqreal2,332128,complete,336.818,336.89,92271460,REALIZABLE,-,realizable
452734333,AIGER-Real/stay14y.aag,9164809,simpleBDDSolver,24326,seqreal1,332129,complete,347.161,347.247,92271460,REALIZABLE,-,realizable
452734337,AIGER-Real/bs1024n.aag,9164810,simpleBDDSolver,24326,seqreal2,332128,complete,2.43219,2.43234,92065580,REALIZABLE,-,realizable
452734338,AIGER-Real/bs1024n.aag,9164810,simpleBDDSolver,24326,seqreal1,332129,complete,2.3473,2.34754,92065440,REALIZABLE,-,realizable
452734342,AIGER-Real/interface-with-overflows-k16-liveness.aag,9164811,simpleBDDSolver,24326,seqreal2,332128,complete,11.9964,11.9973,92118388,REALIZABLE,-,realizable
452734343,AIGER-Real/interface-with-overflows-k16-liveness.aag,9164811,simpleBDDSolver,24326,seqreal1,332129,complete,9.93987,9.9407,92106312,REALIZABLE,-,realizable
452734347,AIGER-Real/mult8.aag,9164812,simpleBDDSolver,24326,seqreal2,332128,complete,38.4463,38.4656,92102888,REALIZABLE,-,realizable
452734348,AIGER-Real/mult8.aag,9164812,simpleBDDSolver,24326,seqreal1,332129,complete,42.2791,42.292,92119276,REALIZABLE,-,realizable
452734352,AIGER-Real/cycle_sched_4_7_1.aag,9164813,simpleBDDSolver,24326,seqreal2,332128,complete,11.5184,11.5214,92063332,REALIZABLE,-,realizable
452734353,AIGER-Real/cycle_sched_4_7_1.aag,9164813,simpleBDDSolver,24326,seqreal1,332129,complete,13.3657,13.3666,92064436,REALIZABLE,-,realizable
452734357,AIGER-Real/factory_assembly_5x3_1_0errors.aag,9164814,simpleBDDSolver,24326,seqreal2,332128,complete,0.646227,0.646239,92057584,REALIZABLE,-,realizable
452734358,AIGER-Real/factory_assembly_5x3_1_0errors.aag,9164814,simpleBDDSolver,24326,seqreal1,332129,complete,0.653747,0.653758,92057576,REALIZABLE,-,realizable
452734362,AIGER-Real/amba8b8unrealy.aag,9164815,simpleBDDSolver,24326,seqreal2,332128,complete,46.4274,46.4463,92198520,UNREALIZABLE,-,unrealizable
452734363,AIGER-Real/amba8b8unrealy.aag,9164815,simpleBDDSolver,24326,seqreal1,332129,complete,46.9236,46.9272,92194244,UNREALIZABLE,-,unrealizable
